analyte,Chisq_overall,Chi Df_overall,Pr(>Chisq)_overall,DO_DenDF,DO_meansq,DO_NumDF,DO_p.value,DO_statistic,DO_sumsq,pH_DenDF,pH_meansq,pH_NumDF,pH_p.value,pH_statistic,pH_sumsq,pH:DO_DenDF,pH:DO_meansq,pH:DO_NumDF,pH:DO_p.value,pH:DO_statistic,pH:DO_sumsq,VIP_PLSDA_VIP_comp6AVG
X208646,5.2692298791669145,3,0.15311152506917308,6.707523483815823,99809804.8151392,1,0.09770619331718758,3.6983328169115204,99809804.8151392,6.707523483639274,2215462.3435806227,1,0.7831298819050883,0.08209130460751213,2215462.3435806227,6.707523483578727,5534379.646684445,1,0.6649423660639813,0.2050698115930558,5534379.646684445,1.3813990873295872
X2089,6.823591726402128,3,0.07773819354180922,6.78179124522202,1684955.7966564472,1,0.06441055847737522,4.865545305551993,1684955.7966564472,6.781791244856105,38.80950493313745,1,0.9918582395236037,1.1206786843484478e-4,38.80950493313745,6.781791245247768,258187.35833861344,1,0.4173759716681825,0.7455520743096664,258187.35833861344,1.1579887496584231
X209167,1.5244277720803439,3,0.6766439976109554,54.99999999841738,176130.24695071322,1,0.5937682587959309,0.28784522453197336,176130.24695071322,54.999999999537025,154153.54519632732,1,0.6177233847754917,0.25192925461492893,154153.54519632732,54.99999999953702,543690.1908103653,1,0.3499957256222851,0.8885391791532221,543690.1908103653,0.8602136913706578
X209175,0.5843504515976292,3,0.9000054471097425,7.359413829104438,13022664155.560186,1,0.6596686277203316,0.21043447669253168,13022664155.560186,7.35941382993844,548629099.2933627,1,0.9274977826377999,0.008865350133351999,548629099.2933627,7.359413829607677,12399468449.238066,1,0.6673072214599443,0.20036419761826593,12399468449.238066,0.8129599401987699
X209176,0.15518222518471703,3,0.9844778033485698,15865515578633845e21,1613810956.6925206,1,0.8036690002441813,0.06180273655178086,1613810956.6925206,15865515578838815e21,619462253.9556156,1,0.8775917770541162,0.023723015590038296,619462253.9556156,15865515578880558e21,1494595060.505382,1,0.8109171380935981,0.05723722744163173,1494595060.505382,0.986427325398018
X209177,6.648780420614912,3,0.08397606679513867,54.999999997983885,6715119054.147369,1,0.0613157352922909,3.6491928774168043,6715119054.147369,54.9999999987464,1263721623.5040998,1,0.4108561918515953,0.6867434382537987,1263721623.5040998,54.99999999874634,4088558258.3672376,1,0.14178371942315907,2.221842614409431,4088558258.3672376,1.294075533154599
X209178,3.611621315944376,3,0.3065711454648317,7.471582366271706,190827423.99973312,1,0.13654229454347971,2.7821687809060287,190827423.99973312,7.471582367359252,3998652.837124337,1,0.8156994145283843,0.05829836642947194,3998652.837124337,7.471582367513335,1034546.6700599059,1,0.905493499429477,0.01508317508826711,1034546.6700599059,0.8799080554428961
X209685,1.8074161972971297,3,0.6133224194287259,7.812816719901808,89516.83031110435,1,0.7306728027129059,0.1273191475256682,89516.83031110435,7.812816720410452,763982.6071042684,1,0.32840283391290875,1.0866069980684614,763982.6071042684,7.812816721345027,83778.26559384906,1,0.7390593859118646,0.1191572279706235,83778.26559384906,1.0535573796804325
X209686,5.427249507746865,3,0.14305523468528034,55.00000000066166,98647.93391812958,1,0.8314419838505582,0.045738911118685666,98647.93391812958,55.00000000066166,3269929.9315789547,1,0.22344537363497835,1.516129416647954,3269929.9315789547,55.000000000661615,7889523.161988288,1,0.06101211335012068,3.6580411199942575,7889523.161988288,0.9535345125921302
X210272,1.4596705915074608,3,0.6916091182080202,55.00000000060435,5382.851211361711,1,0.5121641760890121,0.43527720721117147,5382.851211361711,54.999999999460556,230.4862990810268,1,0.8919079575617055,0.018637972447142676,230.4862990810268,54.999999999606224,11591.047702589862,1,0.3372126772151476,0.9372948785925026,11591.047702589862,0.4410371401960474
X210313,2.9855262216105984,3,0.39386213572248086,5.887915560566699,241741.3956749807,1,0.7983419081718082,0.07145799955329812,241741.3956749807,5.887915560222762,254381.8110234486,1,0.7932846770805729,0.07519446674710363,254381.8110234486,5.887915559492497,6385520.161398456,1,0.2194876612100991,1.8875397635838667,6385520.161398456,0.5816617311153844
X210327,3.4210752050519204,3,0.3311435862197025,6.486442750749586,7838839.673716655,1,0.1641602556989792,2.4596015232836663,7838839.673716655,6.486442750695598,39.59537939425665,1,0.9972935889770368,1.2423886637157495e-5,39.59537939425665,6.4864427507774725,209197.4559680792,1,0.8057276354127123,0.06564012057695187,209197.4559680792,0.7867534958692569
X210363,2.9603848586978074,3,0.39777346707675776,8.16066700859287,94734.21317435426,1,0.37985643760202714,0.8618681808119535,94734.21317435426,8.160667008470975,66267.41983261437,1,0.4593906809841055,0.6028844138191326,66267.41983261437,8.160667008592975,101581.57794461201,1,0.36399938156310785,0.9241637931377392,101581.57794461201,1.1005748569660188
X210658,4.781534306263893,3,0.18851127461186074,6.524922164245974,598328616.9044336,1,0.11267510390309611,3.356894561910679,598328616.9044336,6.524922164244138,13529582.202720225,1,0.7914419695653366,0.07590708456535215,13529582.202720225,6.524922164579483,21461911.869439017,1,0.7395095593456389,0.1204110470521475,21461911.869439017,1.1960975931480855
X213180,2.578660996750841,3,0.4612428369210636,54.99999999776004,163580.8270676685,1,0.8796972824513172,0.023121764364586125,163580.8270676685,54.99999999762963,8819908.611863002,1,0.2690430257188257,1.2466732947640602,8819908.611863002,54.999999996989224,8099938.085547185,1,0.2892912041151167,1.144907157758071,8099938.085547185,1.0895833545739841
X214058,4.836351773041542,3,0.18418003227108123,6.6493166664992245,839278.2249009793,1,0.2547642150650303,1.5532812022970128,839278.2249009793,6.649316666968413,515413.8836845107,1,0.3629145517469795,0.9538942786517604,515413.8836845107,6.649316666633303,524308.2077893016,1,0.35906843743796996,0.9703553115121554,524308.2077893016,1.7844433991122335
X215929,1.69047895410813,3,0.639052612713875,7.227847493520048,683723.0561408901,1,0.3679096464028282,0.9222202944518116,683723.0561408901,7.227847493227763,8248.712065216585,1,0.9188627817108082,0.011126039412169102,8248.712065216585,7.22784749360821,191301.38006143787,1,0.6266081409508938,0.25803139657900187,191301.38006143787,0.8549279932958047
X216585,0.7988398923687328,3,0.849744495693822,6.785898765076762,51727.5992240228,1,0.5752178511895785,0.34639533975515335,51727.5992240228,6.785898765099775,5354.303988198955,1,0.8553534367988828,0.035855248976704994,5354.303988198955,6.785898765269094,27300.830202787594,1,0.6822001485428681,0.18282078610948743,27300.830202787594,0.529789195889747
X21664,2.144379456775141,3,0.5429868011676651,6.8104863115459136,4889019.997694916,1,0.4221958698135897,0.7290772278687344,4889019.997694916,6.810486311548934,3866346.506010117,1,0.4731167302419603,0.5765705998156823,3866346.506010117,6.810486311125105,744679.6778687633,1,0.7489745863252553,0.11105067998222982,744679.6778687633,1.1429891787448265
X21665,3.8381499145535827,3,0.27947973174680796,6.612559108205368,2590653.6954561113,1,0.16853885445354844,2.3897164878704453,2590653.6954561113,6.612559107714552,13660.309082907595,1,0.9139537181281115,0.012600783308895063,13660.309082907595,6.612559107595991,397843.0999347243,1,0.5648557544354726,0.36698545126546284,397843.0999347243,0.8799758280375433
